contents,star,agree,date
"The app has a lot of content, from meals to meditation to exercise. However, I would be very useful if the app and website worked. There are constant crashes stating, ""My session has expired."" Apparently, this has been an issue before. Usually it fixes itself within a short amount time, few minutes, but today has been different mirroring peoples' issues for the past few years.",2,12,2023-08-26 13:34:07
"I have a subscription, but as I navigate through the app I keep receiving a message saying my session has ended and I keep needing to log back in. I need to do this MULTIPLE times within a few minutes. It's making the app unusable. Extremely disappointed by this. Also, please add the ability to keep the timer going on workouts when I lock my phone. I'm not trying to keep my phone screen on for an entire 40 minute period.",1,21,2023-08-21 18:58:42
"The program and workouts are great. The main issue is that the app is borderline unusable. I have a Galaxy Ultra and it kicks me out to log in almost every time I select a workout. Some mornings I can't even use it all together (about half). Don't buy it until this is fixed. Customer service's response was ""Use our free YouTube channel"".",1,45,2023-08-25 11:54:49
"Doesn't work half the time. You can't open most of the workouts and it randomly signs me out when I try to access the app. Clearing cache and uninstalling it doesn't work. It sometimes takes days before it'll work again. I've emailed support numerous times and was told they are aware of the issue and a fix will be out eventually. What BS is that?! For the cost of this app, I should be able to expect that it works every time. Even when it does work, it's good but not great.",1,48,2023-08-21 15:18:24
"Could use some more personalized features. Would be nice if it had better descriptions available prior to the coached workouts. I'm traveling alot and my internet connections are ""unreliable"" so would be nice to stage/download workouts on my phone. They do seem to refine and update often. All in all, I've found it's generally been a great app for my needs.",4,19,2023-07-24 12:50:26
Worked great for the first month. Now I can't even get into the app. When i log in I'm automatically logged right back out and it says Session timed out... so now I can't access any of my workout program or meal plan! I couldn't even get in to cancel my subscription if I wanted to! I need this problem fixed because I do enjoy the app a lot... when I can actually use it!,2,4,2023-08-27 15:44:17
"I liked the app for a long time, and the workouts are good and helping to reach my goals. However, currently, I'm experiencing an issue where it constantly logs me out and takes several attempts to work, if at all. I am hoping that the membership fee is prorated for this consistent timing out.",4,5,2023-08-24 01:04:54
"So sad to write this as the workouts are great but I've been unable to login for a week and a half on any platform. That's just not acceptable on a paid workout app. And it's not the first issue I've had. This isn't hard - it's not like medical records or encrypted chats or anything, it's literally a list of workouts, that's it. But it's been a significant interruption to my routine so sadly I'll be finding a new platform.",1,5,2023-08-28 01:24:54
"Rarely ever glitches and just great workouts. This app and the programs and meal planning are very well done. There hardly ever glitches or mistakes in the coached workouts and the team does a great job of providing helpful queues while allowing us to do our thing a sbest we can. I haven't tried to make a meal yet but with everything portioned out and all you have to do is cook it, I can't wait to try because the meals just look so good! They have vegan, vegetarian, gluten free options/solutions",5,22,2023-06-20 19:47:54
"I haven't been able to access my programs reliably for 2 weeks. I used to love using this app for workouts, but this frustration has made me reconsider renweing my subscription. They sent out an email announcing a new program 6 days ago, even while the app is unusable. Smooth.",1,5,2023-08-28 19:26:15
"The app is a complete joke but the workouts are great when you can get to them. My free trial was great, really happy with it. As soon as it wasn't free anymore the app doesn't work. It constantly asks me to sign in and I can't get to my coached workouts. 2nd day in a row. On the verge of canceling",1,8,2023-08-25 13:46:38
"This app is completely worth it! What really sets this apart for me is the mixture of workout, nutrition, and mental health. The meals are easy and delicious, even my teenager will eat them. The workouts are just right, with a lot of options. I love all of the educational information that is shared. The meditation, breathing exercises, and calming sleep sounds really help me to focus on de-stressing my life. The planner makes it really simple to follow.",5,21,2023-05-31 04:44:15
"The app is awesome, The workout options are awesome, The food is awesome, everything is awesome..... Except one thing. You cannot use this app without an internet connection. I spent more than $100 in internet fees trying to get it to work on a cruise ship. Likewise, while working in an area with bad internet; I wasn't able to use it while traveling for work.",1,6,2023-08-10 14:53:57
"It's been pretty good so far! The app runs smoothly and there are a lot of different workouts to choose from. The recipe selection is awesome as well! My only constructive criticism would be with the workouts themselves, sometimes the trainer who is supposed to be doing to beginner version gets caught up in the work out and does the advanced. It makes it hard to follow if you need a lower level without having to back out of the workout and find the beginner level example. It's great though!!!",4,21,2020-04-11 17:48:50
"It's good. Gets the job done. Wish there were more focused workouts. Like just arms, legs, core...most are all body. Is definitely a more individual style. Less interaction. And they video in segments that they mix and match, so you'll repeat segments in different workouts. The voice over can be a little weird sometimes. For the most part, I like it. I get a good sweat it. It's cheap, the music works for me and settings are beautiful. I do wish there was a way to track the workouts you do.",4,10,2020-07-12 22:56:30
Pros: The workouts are great and the recipes seem good. Cons: uses all your data. Everything on the app requires you to be online at all times and you can't download anything even the shopping list. The workouts are one long video so if you accidentally touch the screen while working out you lose your place and have to manually find your place every time. Screen has to be open for the videos to play. This app was not worth the price.,2,77,2020-10-09 05:38:13
"I downloaded Centr because of the free trial offered during COVID-19, and ended up paying the annual subscription after the trial. I enjoy the app because it does a majority of the thinking for you, and I've seen quality results. There is a variety of nutrition options and workout styles. Most meals are very quick to make, and I've been able to complete all of all workouts I've tried under an hour (in a gym and at home). The interface is very user-friendly as well. 10/10, I recommend.",5,8,2020-06-15 20:22:20
"I signed up for the year package. So far I think the app design is beautiful, love the recipes and most of the workouts! But it is incredibly irritating that so many of the workouts are duplicates of each other (or very very similar within each of the trainers). I would prefer to have fewer different workout to choose from than having to look through 100 workouts to find one that is unique from the others. Could also use some work with the filtering system and be able to sort by workout time.",3,58,2021-04-08 15:48:19
"Initially I really loved this app, however the longer I use it the more I've realize how repetitive everything is. I've done 2 of the 6 week challenges now and its just the same few workouts over and over. Even the commentary is repeated over and over. Don't even get me started on how horrible the music is. I really appreciate the live workouts they are not so monotonous.",3,18,2020-07-10 19:10:25
"When I first began using this app I was a little discouraged. Most of the exercises were hard for me even at the beginner level. But when the Unleashed program came out, I was able to do the low impact options, and now I'm becoming stronger. I don't feel discouraged anymore and I'm utilizing the features of this membership even more. The trainers keep you focused and moving forward.",5,16,2020-07-05 17:45:18
"Excellent app! Easy to navigate, especially through workouts and meals. The shopping list function rocks! I love that you are able to adjust the meals for the amount of servings and the shopping list automatically adjusts the amount of ingredients needed. The meditations put my 11 year old to sleep. And for the boy parents out there you know that isn't easy! This is everything I have been looking for💖",5,2,2020-06-12 20:02:33
"Workouts are great. Food is also good-- always going to be one or two recipes you don't like, but over all most are really tasty! The Facebook group is a great community. Informative, encouraging and the people are funny as hell too 😂 Not a fan of the meditations for the most part as I prefer more reflective and body oriented than the visual guided style. They do have a mix of both, but so far no way for you to swap them out if you prefer one over the other. Overall great app!",4,12,2020-11-15 22:27:13
"A couple things I would change is 1. The ability to exclude equipment-based workouts for those who don't have the equipment or a gym to go to, and 2. Being able to make a meal plan that focuses on a few ingredients, rather than many. I can't afford to go and buy a massive variety (especially at the price of this app), and going through to handpick your meals kind of defeats the purpose of paying for at least that portion of the app. Great app for those with the money and time.",4,41,2020-12-04 14:15:55
"This app has changed my life!!! I've always been skeptical of any type of online/app style workouts but Chris & his trainers have put together a fantastic platform for anyone who wants to try it out (no matter what level you're starting at!). I absolutely love the added touch of meals & snacks. Eating healthy has always been my hardest struggle with getting in shape. Not because I don't like healthy food, but because my options to cook at home always seemed so limited. Centr is the best program!",5,23,2020-08-10 16:43:10
"Tried the free trial and was absolutely blown away and had to get the year subscription! A fantastic change of pace to my fitness regimen and a welcome switch up for my home programming. I love that it requires almost no equipment and still kicks your ass. The food choices are great, too. While I haven't done every single meal it's loaded, I have really enjoyed the choices I have done and love the fact that it creates a shopping list for you. Grade A+++",5,7,2020-04-22 23:02:07
"Don't bother with the reviews saying it's all about the $. I cancelled minutes before the week trial was up (based on the time stamp) and wasn't charged. Gave it some thought and signed up. The workouts are very well structured, I would only suggest that they add a alternative to every exercise. They have it for some but not all. The recipes alone have been worth the $. VERY easy recipes to make a lot of healthy food. I cook 95% of my meals, and these are some of the easiest recipes ever.",5,39,2021-11-09 20:22:04
