,test_contents,sentiment,bow,tfidf,w2v
663,app business expensive not program sound interesting not work fitness gadget watch,0,0,0,1
274,usless,0,1,1,1
395,app fantastic range meditation recipe exercise great new thing add time,1,1,1,1
218,freak amaze workout great planner good food choice amazing downside line download great way favorite workout minor compare amazing list option workout eat good fitness app try affordable price,1,1,1,1
923,good fitness app planet don t pass think s celebrity vanity project centr far away good fitness app ve workout challenge work adjust fitness level deliciou recipe galore meditation useful blog post expand selection program fitness goal save good amazing group coach challenge motivate step way,1,1,1,1
1157,like good app not login win t let login try reset password email try multiple different email address account,0,0,0,1
1203,haven t able access program reliably week love app workout frustration reconsider renwee subscription send email announce new program day ago app unusable smooth,0,0,0,1
352,fabulous range workout food option structured support,1,1,1,1
67,pay free trial w o ny card try,0,0,0,1
49,awesome class apart s good workout fitness app experience coach fantastic diet doable delicious s get chip shoulder looovvveeee meditation sleep visualisation work,1,1,1,1
1455,suppose day trial google play charge month,0,0,0,1
76,clear instruction easy follow uncoordinated see result week fitter toned flexible highly recommend,1,1,1,1
359,keep say network lose phone perfectly good wifi,0,1,1,1
1267,need credit card week probably hemsworth app devs,0,0,0,1
400,app year good constant log error say session expire clear cache clear datum reinstall t know automate annual payment work fine disappointed centr take money provide working service,0,0,0,1
123,feel difference t everyday schedule m feel healthy shape week,1,1,1,1
203,disappoint free guy millionaire,0,0,0,1
220,center program look like trainer round set round second round repeat nice workout,1,1,1,1
869,waste,0,1,0,1
1049,auto renewal charge notification stay away horrific customer service,0,0,0,1
926,great app u not think choose type activity choose catchy great meal idea great price,1,1,1,1
1433,difficult rewarding,1,1,0,1
587,go take bit start don t typically ingredient recipe slow start eat healthy cost m start use benefit family eat well food,1,1,1,1
945,joke,0,1,0,1
383,sign free trial app open subscription option page noworkout option link,0,0,0,1
115,day free actually free,0,0,0,1
481,couldn t start free trial let create account,0,0,0,1
343,app help fitness allow active,1,1,1,1
622,program challenge good target muscle big thing nutrition centr create balanced nutritious meal plan have fitness nutrition work hand hand like centr s help well,1,1,1,1
275,cat pyjama fitness lifestyle app,1,1,1,1
1264,use free trial payment card number,0,0,0,1
1191,quality workout combine food plan make fitness program good value market s like have personal trainer nutritionist month,1,1,1,1
1360,hard navigate cluttered app win t stop email unsubscribed time report spam update year later getting spamme centr change email address block,0,0,0,1
432,money,0,0,0,1
578,t app give credit card uninstalle immediately,0,0,0,1
714,update sign try app couldn t workout enjoy meditation cancel ve bill year not use free day trail sign month subscription download intent try day like don t like force subscription try,0,0,0,1
968,hi recently email problem mistakenly charge body reply help kind regard abhi,0,0,0,1
1026,isn t audio video t use one audio,0,0,0,1
381,change review frustration mount app ask log second multiple attempt precious time waste work wow factor app diminish greatly go customer experience ve centr religiously year show friend family need fix asap,0,0,0,1
1470,good fitness app absolutely love,1,1,1,1
413,bad experience day charge credit card immediately request cancelation refund refuse quote stipulation contract app bad business,0,0,0,1
1413,great workout easy follow super motivational,1,1,1,1
298,keep log,0,0,0,1
536,good fitness app trainer meditation nutrition,1,1,1,1
1175,sudden app start time log say session expire use app nearly day s incredibly frustrating pay year able access website way contact support raise question help t believe product team hasn t roll late update make sense,0,0,0,1
270,program overall good m give app crash lot skip rest freeze doesn t allow open vpn addition look like body muscle program man woman different body behavior program doesn t look account like improvement,0,1,1,1
51,month,0,0,0,1
848,love app give new lease life thank like versatility video great nutritional training advice love fact access different workout style help meditation mindfulness reason star d like muscle exercise target have relevant body light torre great forum ask question,1,1,1,1
372,fantastic app couldn t recommend highly work well app ve try,1,1,1,1
428,app okay good nice interface nice variety workouts lot info diet bad wearos app new watch app not log weight s hard log set weight go forth phone well log rest timer watch doesn t sync workout samsung fitness browse meal recipe list meal start beginning ipad app shrunk,0,0,1,1
1204,far great thing bug phone screen turn mid workout timer stop idk rest j suppose app genuinely great,1,1,1,1
1081,use m travel workout trainer great fun start meal plan s great option love make shopping list macro list good round focus eg sleep tip stuff thank make,1,1,1,1
735,enjoy app,1,1,1,1
1033,absolutely terrible people scam free trial super hard cancel charge t refund fall trap training isn t good s money,0,0,0,1
529,super good,1,1,1,1
231,crash crash crash uninstall reinstall work min crash garbage,0,0,0,1
1102,awesome,1,1,1,1
612,app great pricey recommend content worth pay learn training friend free trial think app training freeletic nike train club meditation headspace calm yoga downdog x well treat user poorly try steal money make company service terrible immoral customer support ignore email stop answer pleased send template answer time time hard cancel realise charge absolutely way reimburse end free trial email frank look profile app single time month forget cancel free trial contact soon see charge credit card mistake forget cancel time reimburse didn t use plan use anymore dozen email help policy s write don t reimbursement try argue common sense look app don t plan use future happy pay ask reimbursement don t think s worth pay value unhappy customer happy product don t want pay charge app mental health squeeze money answer poorly treat like poo s hard company treat customer disdain succeed future let s read online google review turn user detractor,0,0,0,1
621,information s like take workout guide throw page floor account s instruction guide use app intro video explanation program organize s training app mobile hemsworth back wiki s useful mindful google search definitely pay,0,0,0,1
1050,brilliant work out tone loose weight build core strength workout building muscle self guide walk basic trainer s incredibly knowledgeable get good personality great chemistry actually make big difference come help motivate majority meal elaborate include uncommon ingredient plus cookery video overall work,1,1,1,1
928,amazing app,1,1,1,1
168,amazing app love program far look easy definitely feel burn,1,1,1,1
801,good workout app ve personally ya s free pay pick haven t ton delicious meal breakfast lunch dinner bonus snack help track achieve goal,1,1,1,1
455,workouts freeze middle session try restart device reset fttp router freeze,0,0,0,1
713,execcive expensive,0,0,0,1
969,star,1,1,0,1
1321,becareful wish cancel subscription exactly expect blame cancel google play month advance say didn t count wasn t website subscription reminder receipt vigilant fraud,0,0,0,1
1265,cancel subscription win t refund forget cancel don t warn charge account automatically contact customer support day charge yearly fee refuse refund absolutely diguste practice completely fair consumer raise complaint acc edit deloper tell email response email email,0,0,0,1
1067,workout dangerous ignorant,0,1,1,1
1176,great range program level nice workout video love range meal meditation option,1,1,1,1
826,payment method iranian like attend challenge don t international bank account,0,0,0,1
1150,app okay support awful sure cancel auto renewal don t provide refund,0,0,0,1
1199,doesn t work app constantly log s go past couple week edit give free month s cool free month app work fairly useless fix bad,0,0,0,1
531,um app long let s pick subscription option classy thank long stay app immediately close update ah reading comprehension fail centr support,0,0,0,1
29,centr fantastic work kid have fun get shape lose weight help great shape feel well haven t long time thank amazing app,1,1,1,1
1313,use everyday love app help diet exercise,1,1,1,1
553,pay llay,0,0,0,1
1045,crash work gym need keep make log load worth annual subscription,0,0,0,1
65,like app money like chris hemsworth,1,0,0,1
464,awesome exercise,1,1,1,1
124,app horrible kick pay month subscription day bad app,0,0,0,1
838,sign time gym close couldn t use trial period app lock mention week trial wasn t able good,0,0,0,1
1416,awful furious communication app payment go take s difficult unsubscribe app refuse cancel unwanted subscription provide refund exactly month mark charge don t awful app month period absolutely terrible customer service manipulative app terrible parasitic business model join rob,0,0,0,1
754,wish free,0,0,0,1
1206,worth money,0,0,0,1
240,center forget e,0,1,0,1
1385,d great app actually work keep sign question m pay point,0,0,0,1
776,wish healthy wasn t wealthy,0,1,1,1
569,look review app good,0,1,1,1
534,hi download try lockdown ve get tear acl specific exercise expect reminder service charge subscription nod win t return money theft want service take,0,0,0,1
1044,great app beginner want physique level highly recommend,1,1,1,1
934,use personalized feature nice well description available prior coached workout m travel alot internet connection unreliable nice stage download workout phone refine update ve find s generally great app need,1,1,1,1
697,well workout app ve see detailed meal planning workout variation sound like infomercial hahaha grind guy,1,1,1,1
